        -121  0.999840140    
        -117  0.999708772    
        -113  0.999469578    
        -109  0.999033988    
        -105  0.998241663    
        -101  0.996802270    
         -97  0.994192481    
         -93  0.989478588    
         -89  0.981020749    
         -85  0.966021419    
         -81  0.939955175    
         -77  0.896193206    
         -73  0.826763928    
         -69  0.725830197    
         -65  0.596120715    
         -61  0.453233331    
         -57  0.319911897    
         -53  0.213109612    
         -49  0.137188241    
         -45   8.73843729E-02
         -41   5.61589226E-02
         -37   3.69293131E-02
         -33   2.50595603E-02
         -29   1.76056642E-02
         -25   1.27927884E-02
         -21   9.57628805E-03
         -17   7.34558934E-03
         -13   5.74207027E-03
          -9   4.55204956E-03
          -5   3.64527083E-03
          -1   2.93991109E-03
           3   2.38269870E-03
           7   1.93758029E-03
          11   1.57919712E-03
          15   1.28906954E-03
          19   1.05332036E-03
          23   8.61273147E-04
          27   7.04559730E-04
          31   5.76533319E-04
          35   4.71863605E-04
          39   3.86246189E-04
          43   3.16190184E-04
          47   2.58854561E-04
          51   2.11922888E-04
          55   1.73503955E-04
          59   1.42051664E-04
          63   1.16301911E-04
          67   9.52202463E-05
          71   7.79601178E-05
          75   6.38287311E-05
          79   5.22588489E-05
